ua,lon,lat,uf,bioma,municipio,lote,data,impedimento,status_derivado,fontes
GO_306,-48.24012,-15.12007,GO,Cerrado,Mimoso de Goiás,GO-01,2018/09/13 00:00:00,,medido_completo,ua|uso
GO_307,-48.06004,-15.12002,GO,Cerrado,Água Fria de Goiás,GO-01,2018/09/14 00:00:00,,medido_completo,ua|uso
GO_308,-47.88047,-15.11998,GO,Cerrado,Planaltina,GO-01,2018/09/12 00:00:00,,medido_completo,ua|uso
GO_308_Q15,-47.80131,-15.13121,GO,Cerrado,Planaltina,GO-01,2018/09/12 00:00:00,,medido_completo,ua|uso
GO_308_Q19,-47.75679,-15.13153,GO,Cerrado,Planaltina,GO-01,2018/09/14 00:00:00,,medido_completo,ua|uso
GO_309,-47.70072,-15.1202,GO,Cerrado,Planaltina,GO-01,2018/09/10 00:00:00,,medido_completo,ua|uso
GO_31,-49.32016,-13.32003,GO,Cerrado,Porangatu,GO-01,2018/05/14 00:00:00,,medido_completo,ua|uso
GO_310,-47.52007,-15.11992,GO,Cerrado,Formosa,GO-01,2018/11/09 00:00:00,,medido_completo,ua|uso
GO_311,-47.34029,-15.12012,GO,Cerrado,Formosa,GO-01,2018/06/19 00:00:00,,medido_completo,ua|uso
GO_312,-47.16005,-15.12011,GO,Cerrado,Formosa,GO-01,2018/06/12 00:00:00,,medido_completo,ua|uso
GO_313,-46.98053,-15.12014,GO,Cerrado,Vila Boa,GO-01,2018/06/21 00:00:00,,medido_completo,ua|uso
GO_314,-51.6601,-15.2999,GO,Cerrado,Jussara,GO-03,2018/06/18 00:00:00,,medido_completo,ua|uso
GO_315,-51.48023,-15.3,GO,Cerrado,Jussara,GO-03,2018/06/20 00:00:00,,medido_completo,ua|uso
GO_316,-51.30006,-15.30009,GO,Cerrado,Jussara,GO-03,2018/06/21 00:00:00,,medido_completo,ua|uso
GO_317,-51.12035,-15.3001,GO,Cerrado,Britânia,GO-03,2018/06/29 00:00:00,,medido_completo,ua|uso
GO_318,-50.94002,-15.30011,GO,Cerrado,Aruanã,GO-03,2018/06/15 00:00:00,,medido_completo,ua|uso
GO_319,-50.76062,-15.30013,GO,Cerrado,Matrinchã,GO-03,2018/06/13 00:00:00,,medido_completo,ua|uso
GO_320,-50.58002,-15.29997,GO,Cerrado,Faina,GO-03,2018/06/11 00:00:00,,medido_completo,ua|uso
GO_322,-50.22006,-15.30012,GO,Cerrado,Faina,GO-01,2018/03/28 00:00:00,,medido_completo,ua|uso
GO_323,-50.04048,-15.29998,GO,Cerrado,Morro Agudo de Goiás,GO-01,2018/04/13 00:00:00,,medido_completo,ua|uso
GO_324,-49.86018,-15.29994,GO,Cerrado,Rubiataba,GO-01,2018/04/06 00:00:00,,medido_completo,ua|uso
GO_325,-49.68004,-15.29998,GO,Cerrado,Ceres,GO-01,2018/04/11 00:00:00,,medido_completo,ua|uso
GO_326,-49.50005,-15.30012,GO,Cerrado,Rialma,GO-01,2018/04/12 00:00:00,,medido_completo,ua|uso
GO_328,-49.14004,-15.29991,GO,Cerrado,Goianésia,GO-01,2018/04/02 00:00:00,,medido_completo,ua|uso
GO_329,-48.96018,-15.30008,GO,Cerrado,Vila Propício,GO-01,2018/04/11 00:00:00,,medido_completo,ua|uso
GO_330,-48.78036,-15.30006,GO,Cerrado,Vila Propício,GO-01,2018/04/05 00:00:00,,medido_completo,ua|uso
GO_331,-48.60027,-15.29994,GO,Cerrado,Vila Propício,GO-01,2018/09/11 00:00:00,,medido_completo,ua|uso
GO_332,-48.42015,-15.30012,GO,Cerrado,Padre Bernardo,GO-01,2018/09/13 00:00:00,,medido_completo,ua|uso
GO_333,-48.24007,-15.30009,GO,Cerrado,Padre Bernardo,GO-01,2018/09/14 00:00:00,,medido_completo,ua|uso
GO_334,-48.06014,-15.30003,GO,Cerrado,Padre Bernardo,GO-01,2018/09/14 00:00:00,Cascalho,medido_completo,ua|uso
GO_335,-47.8802,-15.29998,GO,Cerrado,Planaltina,GO-01,2018/09/11 00:00:00,Solo pedregoso,medido_completo,ua|uso
GO_336,-47.70051,-15.30005,GO,Cerrado,Planaltina,GO-01,2018/09/13 00:00:00,,medido_completo,ua|uso
GO_337,-47.52016,-15.30013,GO,Cerrado,Planaltina,GO-01,2018/06/14 00:00:00,,medido_completo,ua|uso
GO_338,-47.34,-15.3,GO,Cerrado,Formosa,GO-01,,,socioambiental,uso
GO_339,-47.16041,-15.29995,GO,Cerrado,Formosa,GO-01,2018/06/13 00:00:00,,medido_completo,ua|uso
GO_34,-48.78013,-13.32002,GO,Cerrado,Montividiu do Norte,GO-01,2018/05/10 00:00:00,,medido_completo,ua|uso
GO_340,-46.98029,-15.30005,GO,Cerrado,Formosa,GO-01,2018/06/18 00:00:00,,medido_completo,ua|uso
GO_341,-51.66018,-15.47992,GO,Cerrado,Jussara,GO-03,2018/06/26 00:00:00,,medido_completo,ua|uso
GO_342,-51.48035,-15.48019,GO,Cerrado,Jussara,GO-03,2018/06/26 00:00:00,,medido_completo,ua|uso
GO_343,-51.3001,-15.48009,GO,Cerrado,Jussara,GO-03,2018/06/22 00:00:00,,medido_completo,ua|uso
GO_344,-51.12053,-15.48013,GO,Cerrado,Santa Fé de Goiás,GO-03,2018/06/22 00:00:00,,medido_completo,ua|uso
