ua,lon,lat,uf,bioma,municipio,lote,data,impedimento,status_derivado,fontes
GO_456,-48.60019,-16.20005,GO,Cerrado,Abadiânia,GO-02,2018/03/15 00:00:00,,medido_completo,ua|uso
GO_457,-48.42004,-16.20012,GO,Cerrado,Alexânia,GO-02,2018/07/12 00:00:00,,medido_completo,ua|uso
GO_458,-48.24041,-16.19993,GO,Cerrado,Santo Antônio do Descoberto,GO-02,2018/07/11 00:00:00,,medido_completo,ua|uso
GO_459,-48.06012,-16.19989,GO,Cerrado,Luziânia,GO-02,2018/07/16 00:00:00,,medido_completo,ua|uso
GO_46,-46.44034,-13.32009,GO,Cerrado,Divinópolis de Goiás,GO-01,2018/09/26 00:00:00,,medido_completo,ua|uso
GO_460,-47.88019,-16.19997,GO,Cerrado,Luziânia,GO-02,2018/06/28 00:00:00,,medido_completo,ua|uso
GO_461,-47.70007,-16.20011,GO,Cerrado,Luziânia,GO-02,2018/07/18 00:00:00,,medido_completo,ua|uso
GO_462,-47.52055,-16.20026,GO,Cerrado,Cristalina,GO-02,2018/06/26 00:00:00,,medido_completo,ua|uso
GO_463,-47.34006,-16.19996,GO,Cerrado,Cristalina,GO-02,2018/07/13 00:00:00,,medido_completo,ua|uso
GO_464,-52.56036,-16.38004,GO,Cerrado,Baliza,GO-03,2018/09/05 00:00:00,,medido_completo,ua|uso
GO_465,-52.38008,-16.38001,GO,Cerrado,Baliza,GO-03,2018/09/03 00:00:00,,medido_completo,ua|uso
GO_466,-52.20005,-16.37998,GO,Cerrado,Bom Jardim de Goiás,GO-03,2018/08/31 00:00:00,,medido_completo,ua|uso
GO_468,-51.84037,-16.38011,GO,Cerrado,Piranhas,GO-03,2018/06/04 00:00:00,,medido_completo,ua|uso
GO_469,-51.66003,-16.37996,GO,Cerrado,Piranhas,GO-03,2018/06/04 00:00:00,,medido_completo,ua|uso
GO_470,-51.48054,-16.38018,GO,Cerrado,Arenópolis,GO-03,2018/06/05 00:00:00,,medido_completo,ua|uso
GO_471,-51.3001,-16.38009,GO,Cerrado,Iporá,GO-03,2018/03/26 00:00:00,,medido_completo,ua|uso
GO_472,-51.12041,-16.3802,GO,Cerrado,Iporá,GO-03,2018/03/27 00:00:00,,medido_completo,ua|uso
GO_473,-50.94002,-16.37997,GO,Cerrado,Israelândia,GO-03,2018/03/28 00:00:00,,medido_completo,ua|uso
GO_474,-50.76059,-16.38029,GO,Cerrado,Israelândia,GO-03,2018/03/20 00:00:00,,medido_completo,ua|uso
GO_475,-50.58062,-16.38029,GO,Cerrado,Córrego do Ouro,GO-03,2018/03/12 00:00:00,,medido_completo,ua|uso
GO_476,-50.40057,-16.38028,GO,Cerrado,São Luís de Montes Belos,GO-03,2018/03/12 00:00:00,,medido_completo,ua|uso
GO_477,-50.22018,-16.38013,GO,Cerrado,Adelândia,GO-02,2018/03/10 00:00:00,,medido_completo,ua|uso
GO_478,-50.04014,-16.38004,GO,Cerrado,Anicuns,GO-02,2018/03/08 00:00:00,,medido_completo,ua|uso
GO_479,-49.86045,-16.37996,GO,Cerrado,Anicuns,GO-02,2018/03/16 00:00:00,,medido_completo,ua|uso
GO_480,-49.6804,-16.3802,GO,Cerrado,Araçu,GO-02,2018/03/13 00:00:00,,medido_completo,ua|uso
GO_481,-49.50004,-16.38017,GO,Cerrado,Inhumas,GO-02,2018/03/09 00:00:00,,medido_completo,ua|uso
GO_482,-49.32007,-16.37997,GO,Cerrado,Nova Veneza,GO-02,2018/04/12 00:00:00,,medido_completo,ua|uso
GO_483,-49.14006,-16.38012,GO,Cerrado,Anápolis,GO-02,2018/03/09 00:00:00,,medido_completo,ua|uso
GO_485,-48.7801,-16.38006,GO,Cerrado,Anápolis,GO-02,2018/07/11 00:00:00,,medido_completo,ua|uso
GO_486,-48.60027,-16.37998,GO,Cerrado,Gameleira de Goiás,GO-02,2018/07/11 00:00:00,,medido_completo,ua|uso
GO_487,-48.42007,-16.38015,GO,Cerrado,Silvânia,GO-02,2018/07/12 00:00:00,,medido_completo,ua|uso
GO_488,-48.24029,-16.38012,GO,Cerrado,Luziânia,GO-02,2018/06/23 00:00:00,,medido_completo,ua|uso
GO_489,-48.0601,-16.37989,GO,Cerrado,Luziânia,GO-02,2018/07/19 00:00:00,,medido_completo,ua|uso
GO_49,-50.40004,-13.50017,GO,Cerrado,São Miguel do Araguaia,GO-03,2018/05/25 00:00:00,,medido_completo,ua|uso
GO_490,-47.8801,-16.37998,GO,Cerrado,Luziânia,GO-02,2018/07/10 00:00:00,,medido_completo,ua|uso
GO_491,-47.70003,-16.37997,GO,Cerrado,Luziânia,GO-02,2018/07/09 00:00:00,,medido_completo,ua|uso
GO_492,-47.52055,-16.38027,GO,Cerrado,Cristalina,GO-02,2018/06/28 00:00:00,,medido_completo,ua|uso
GO_493,-52.5605,-16.56015,GO,Cerrado,Doverlândia,GO-03,2018/09/06 00:00:00,,medido_completo,ua|uso
GO_494,-52.38062,-16.56028,GO,Cerrado,Doverlândia,GO-03,2018/09/06 00:00:00,,medido_completo,ua|uso
GO_495,-52.20033,-16.55994,GO,Cerrado,Caiapônia,GO-03,2018/08/29 00:00:00,,medido_completo,ua|uso
GO_496,-52.02023,-16.55996,GO,Cerrado,Caiapônia,GO-03,2018/09/06 00:00:00,,medido_completo,ua|uso
GO_497,-51.84009,-16.55995,GO,Cerrado,Piranhas,GO-03,2018/09/05 00:00:00,,medido_completo,ua|uso
GO_498,-51.66008,-16.56009,GO,Cerrado,Piranhas,GO-03,2018/06/13 00:00:00,,medido_completo,ua|uso
GO_499,-51.48022,-16.56,GO,Cerrado,Palestina de Goiás,GO-03,2018/06/13 00:00:00,,medido_completo,ua|uso
GO_5,-49.14004,-12.95998,GO,Cerrado,Porangatu,GO-01,2018/05/02 00:00:00,,medido_completo,ua|uso
GO_50,-50.22043,-13.49994,GO,Cerrado,São Miguel do Araguaia,GO-01,2018/05/25 00:00:00,,medido_completo,ua|uso
GO_500,-51.30022,-16.56004,GO,Cerrado,Palestina de Goiás,GO-03,2018/06/11 00:00:00,,medido_completo,ua|uso
GO_501,-51.12055,-16.56016,GO,Cerrado,Amorinópolis,GO-03,2018/03/27 00:00:00,,medido_completo,ua|uso
GO_502,-50.94083,-16.56039,GO,Cerrado,Ivolândia,GO-03,2018/03/26 00:00:00,,medido_completo,ua|uso
GO_503,-50.76061,-16.56031,GO,Cerrado,Moiporá,GO-03,2018/03/19 00:00:00,,medido_completo,ua|uso
GO_504,-50.58056,-16.56013,GO,Cerrado,Aurilândia,GO-03,2018/03/15 00:00:00,,medido_completo,ua|uso
GO_505,-50.40006,-16.56013,GO,Cerrado,São Luís de Montes Belos,GO-03,2018/03/16 00:00:00,,medido_completo,ua|uso
GO_506,-50.22052,-16.56014,GO,Cerrado,Turvânia,GO-02,2018/03/09 00:00:00,,medido_completo,ua|uso
GO_507,-50.04009,-16.56013,GO,Cerrado,Turvânia,GO-02,2018/03/08 00:00:00,,medido_completo,ua|uso
GO_508,-49.86015,-16.56005,GO,Cerrado,Nazário,GO-02,2018/03/14 00:00:00,,medido_completo,ua|uso
GO_509,-49.68007,-16.55997,GO,Cerrado,Santa Bárbara de Goiás,GO-02,2018/03/16 00:00:00,,medido_completo,ua|uso
GO_51,-50.04064,-13.50003,GO,Cerrado,São Miguel do Araguaia,GO-01,2018/05/25 00:00:00,,medido_completo,ua|uso
GO_510,-49.50009,-16.55993,GO,Cerrado,Trindade,GO-02,2018/03/17 00:00:00,,medido_completo,ua|uso
GO_511,-49.32059,-16.56031,GO,Cerrado,Goiânia,GO-02,2018/03/13 00:00:00,,medido_completo,ua|uso
GO_512,-49.14027,-16.56006,GO,Cerrado,Goianápolis,GO-02,2018/03/14 00:00:00,,medido_completo,ua|uso
GO_513,-48.9602,-16.56007,GO,Cerrado,Leopoldo de Bulhões,GO-02,2018/08/03 00:00:00,,medido_completo,ua|uso
GO_514,-48.7802,-16.5601,GO,Cerrado,Silvânia,GO-02,2018/07/16 00:00:00,,medido_completo,ua|uso
GO_515,-48.60005,-16.55998,GO,Cerrado,Silvânia,GO-02,2018/07/11 00:00:00,,medido_completo,ua|uso
GO_516,-48.42028,-16.56,GO,Cerrado,Silvânia,GO-02,2018/07/18 00:00:00,,medido_completo,ua|uso
GO_517,-48.24023,-16.55999,GO,Cerrado,Luziânia,GO-02,2018/06/25 00:00:00,,medido_completo,ua|uso
GO_518,-48.06005,-16.55998,GO,Cerrado,Luziânia,GO-02,2018/06/25 00:00:00,,medido_completo,ua|uso
GO_519,-47.88048,-16.56004,GO,Cerrado,Luziânia,GO-02,2018/07/26 00:00:00,,medido_completo,ua|uso
GO_52,-49.86014,-13.50014,GO,Cerrado,Bonópolis,GO-01,2018/05/22 00:00:00,,medido_completo,ua|uso
GO_520,-47.70024,-16.56,GO,Cerrado,Cristalina,GO-02,2018/07/25 00:00:00,,medido_completo,ua|uso
GO_521,-47.52056,-16.56016,GO,Cerrado,Cristalina,GO-02,2018/07/26 00:00:00,,medido_completo,ua|uso
GO_522,-52.74007,-16.73996,GO,Cerrado,Doverlândia,GO-03,2018/08/30 00:00:00,,medido_completo,ua|uso
GO_523,-52.56002,-16.74005,GO,Cerrado,Doverlândia,GO-03,2018/09/05 00:00:00,,medido_completo,ua|uso
GO_524,-52.38019,-16.73999,GO,Cerrado,Doverlândia,GO-03,2018/08/30 00:00:00,,medido_completo,ua|uso
GO_525,-52.20023,-16.74008,GO,Cerrado,Doverlândia,GO-03,2018/09/03 00:00:00,,medido_completo,ua|uso
GO_526,-52.02038,-16.74002,GO,Cerrado,Caiapônia,GO-03,2018/09/06 00:00:00,,medido_completo,ua|uso
GO_527,-51.84009,-16.74002,GO,Cerrado,Caiapônia,GO-03,2018/09/05 00:00:00,,medido_completo,ua|uso
GO_528,-51.66048,-16.74002,GO,Cerrado,Caiapônia,GO-03,2018/06/14 00:00:00,,medido_completo,ua|uso
GO_529,-51.48005,-16.73998,GO,Cerrado,Palestina de Goiás,GO-03,2018/06/13 00:00:00,,medido_completo,ua|uso
GO_53,-49.68023,-13.5001,GO,Cerrado,Bonópolis,GO-01,2018/05/14 00:00:00,,medido_completo,ua|uso
GO_530,-51.30033,-16.73995,GO,Cerrado,Palestina de Goiás,GO-03,2018/06/15 00:00:00,,medido_completo,ua|uso
GO_531,-51.1203,-16.73995,GO,Cerrado,Ivolândia,GO-03,2018/06/05 00:00:00,,medido_completo,ua|uso
GO_532,-50.94005,-16.73998,GO,Cerrado,Ivolândia,GO-03,2018/05/30 00:00:00,,medido_completo,ua|uso
GO_533,-50.76038,-16.74009,GO,Cerrado,Cachoeira de Goiás,GO-03,2018/06/06 00:00:00,,medido_completo,ua|uso
GO_534,-50.57999,-16.74006,GO,Cerrado,Aurilândia,GO-03,2018/03/14 00:00:00,,medido_completo,ua|uso
GO_535,-50.40001,-16.74,GO,Cerrado,São João da Paraúna,GO-03,2018/03/13 00:00:00,,medido_completo,ua|uso
GO_536,-50.22004,-16.73998,GO,Cerrado,Palminópolis,GO-02,2018/03/09 00:00:00,,medido_completo,ua|uso
GO_537,-50.04029,-16.74015,GO,Cerrado,Palmeiras de Goiás,GO-02,2018/05/10 00:00:00,,medido_completo,ua|uso
GO_538,-49.86004,-16.74001,GO,Cerrado,Palmeiras de Goiás,GO-02,2018/05/10 00:00:00,,medido_completo,ua|uso
GO_539,-49.68036,-16.74003,GO,Cerrado,Campestre de Goiás,GO-02,2018/03/16 00:00:00,,medido_completo,ua|uso
GO_540,-49.50011,-16.74003,GO,Cerrado,Trindade,GO-02,2018/03/12 00:00:00,,medido_completo,ua|uso
GO_541,-49.32063,-16.7403,GO,Cerrado,Goiânia,,2018/09/07 00:00:00,,medido_biofisico,ua
GO_542,-49.14023,-16.74008,GO,Cerrado,Senador Canedo,GO-02,2018/07/30 00:00:00,,medido_completo,ua|uso
GO_543,-48.96038,-16.74015,GO,Cerrado,Caldazinha,GO-02,2018/07/06 00:00:00,,medido_completo,ua|uso
GO_544,-48.78045,-16.73997,GO,Cerrado,Silvânia,GO-02,2018/07/21 00:00:00,,medido_completo,ua|uso
GO_545,-48.60071,-16.74024,GO,Cerrado,Silvânia,GO-02,2018/07/13 00:00:00,,medido_completo,ua|uso
GO_546,-48.42002,-16.73996,GO,Cerrado,Vianópolis,GO-02,2018/07/21 00:00:00,,medido_completo,ua|uso
GO_547,-48.24024,-16.74001,GO,Cerrado,Orizona,GO-02,2018/07/25 00:00:00,,medido_completo,ua|uso
GO_548,-48.06026,-16.74,GO,Cerrado,Luziânia,GO-02,2018/07/19 00:00:00,,medido_completo,ua|uso
GO_549,-47.88036,-16.73995,GO,Cerrado,Cristalina,GO-02,2018/07/23 00:00:00,,medido_completo,ua|uso
GO_55,-49.32051,-13.50016,GO,Cerrado,Porangatu,GO-01,2018/05/15 00:00:00,,medido_completo,ua|uso
GO_550,-47.70032,-16.74002,GO,Cerrado,Cristalina,GO-02,2018/07/25 00:00:00,,medido_completo,ua|uso
GO_551,-47.52052,-16.74013,GO,Cerrado,Cristalina,GO-02,2018/07/20 00:00:00,,medido_completo,ua|uso
GO_552,-47.34082,-16.74039,GO,Cerrado,Cristalina,GO-02,2018/07/20 00:00:00,Solo pedregoso,medido_completo,ua|uso
GO_553,-52.92091,-16.92039,GO,Cerrado,Santa Rita do Araguaia,GO-03,2018/08/28 00:00:00,,medido_completo,ua|uso
GO_554,-52.74014,-16.92004,GO,Cerrado,Doverlândia,GO-03,2018/08/30 00:00:00,,medido_completo,ua|uso
GO_556,-52.38038,-16.92002,GO,Cerrado,Doverlândia,GO-03,2018/09/04 00:00:00,,medido_completo,ua|uso
GO_557,-52.20051,-16.92013,GO,Cerrado,Caiapônia,GO-03,2018/09/03 00:00:00,,medido_completo,ua|uso
GO_558,-52.02055,-16.92014,GO,Cerrado,Caiapônia,GO-03,2018/09/03 00:00:00,,medido_completo,ua|uso
GO_559,-51.84017,-16.9199,GO,Cerrado,Caiapônia,GO-03,2018/09/03 00:00:00,,medido_completo,ua|uso
GO_56,-49.14039,-13.50012,GO,Cerrado,Porangatu,GO-01,2018/05/08 00:00:00,,medido_completo,ua|uso
GO_560,-51.6603,-16.92002,GO,Cerrado,Caiapônia,GO-03,2018/06/14 00:00:00,,medido_completo,ua|uso
GO_561,-51.48061,-16.92029,GO,Cerrado,Caiapônia,GO-03,2018/06/12 00:00:00,,medido_completo,ua|uso
GO_563,-51.12006,-16.91999,GO,Cerrado,Caiapônia,GO-03,2018/06/01 00:00:00,,medido_completo,ua|uso
GO_564,-50.94019,-16.91993,GO,Cerrado,Paraúna,GO-03,2018/05/31 00:00:00,,medido_completo,ua|uso
GO_565,-50.76022,-16.92009,GO,Cerrado,Paraúna,GO-03,2018/05/30 00:00:00,,medido_completo,ua|uso
GO_566,-50.58023,-16.92006,GO,Cerrado,Paraúna,GO-03,2018/06/04 00:00:00,,medido_completo,ua|uso
GO_567,-50.40037,-16.92003,GO,Cerrado,Paraúna,GO-02,2018/05/15 00:00:00,,medido_completo,ua|uso
GO_568,-50.22028,-16.92006,GO,Cerrado,Jandaia,GO-02,2018/05/09 00:00:00,,medido_completo,ua|uso
GO_569,-50.04035,-16.92002,GO,Cerrado,Palmeiras de Goiás,GO-02,2018/05/09 00:00:00,,medido_completo,ua|uso
GO_57,-48.9604,-13.50022,GO,Cerrado,Santa Tereza de Goiás,GO-01,2018/05/08 00:00:00,,medido_completo,ua|uso
GO_570,-49.86011,-16.91995,GO,Cerrado,Palmeiras de Goiás,GO-02,2018/05/16 00:00:00,,medido_completo,ua|uso
GO_571,-49.68002,-16.92005,GO,Cerrado,Guapó,GO-02,2018/05/08 00:00:00,,medido_completo,ua|uso
GO_572,-49.50054,-16.92018,GO,Cerrado,Guapó,GO-02,2018/05/08 00:00:00,,medido_completo,ua|uso
GO_573,-49.3206,-16.92031,GO,Cerrado,Hidrolândia,GO-02,2018/07/06 00:00:00,,medido_completo,ua|uso
GO_574,-49.14056,-16.92028,GO,Cerrado,Hidrolândia,GO-02,2018/07/03 00:00:00,,medido_completo,ua|uso
GO_575,-48.96035,-16.9202,GO,Cerrado,Bela Vista de Goiás,GO-02,2018/07/04 00:00:00,,medido_completo,ua|uso
GO_576,-48.78034,-16.92012,GO,Cerrado,São Miguel do Passa Quatro,GO-02,2018/07/18 00:00:00,,medido_completo,ua|uso
GO_577,-48.60017,-16.92012,GO,Cerrado,Silvânia,GO-02,2018/07/20 00:00:00,,medido_completo,ua|uso
GO_578,-48.42006,-16.92013,GO,Cerrado,Vianópolis,GO-02,2018/07/17 00:00:00,,medido_completo,ua|uso
GO_579,-48.24011,-16.92016,GO,Cerrado,Orizona,GO-02,2018/07/18 00:00:00,,medido_completo,ua|uso
GO_58,-48.78005,-13.49998,GO,Cerrado,Trombas,GO-01,2018/05/10 00:00:00,,medido_completo,ua|uso
GO_580,-48.06007,-16.91996,GO,Cerrado,Luziânia,GO-02,2018/07/27 00:00:00,,medido_completo,ua|uso
GO_581,-47.88004,-16.9201,GO,Cerrado,Cristalina,GO-02,2018/07/27 00:00:00,Solo pedregoso,medido_completo,ua|uso
GO_582,-47.70025,-16.92016,GO,Cerrado,Ipameri,GO-02,2018/07/20 00:00:00,,medido_completo,ua|uso
GO_583,-47.5201,-16.91991,GO,Cerrado,Cristalina,GO-02,2018/07/24 00:00:00,,medido_completo,ua|uso
GO_584,-47.34032,-16.9201,GO,Cerrado,Cristalina,GO-02,2018/07/20 00:00:00,,medido_completo,ua|uso
GO_585,-52.92049,-17.10012,GO,Cerrado,Mineiros,GO-03,2018/08/29 00:00:00,,medido_completo,ua|uso
GO_586,-52.74071,-17.10022,GO,Cerrado,Mineiros,GO-03,2018/08/27 00:00:00,,medido_completo,ua|uso
GO_587,-52.56016,-17.09989,GO,Cerrado,Mineiros,GO-03,2018/09/05 00:00:00,,medido_completo,ua|uso
GO_588,-52.38058,-17.10027,GO,Cerrado,Caiapônia,GO-03,2018/09/04 00:00:00,,medido_completo,ua|uso
GO_589,-52.20054,-17.10013,GO,Cerrado,Caiapônia,GO-03,2018/09/04 00:00:00,,medido_completo,ua|uso
GO_59,-48.60008,-13.50013,GO,Cerrado,Trombas,GO-01,2018/05/09 00:00:00,,medido_completo,ua|uso
GO_590,-52.02057,-17.10016,GO,Cerrado,Caiapônia,GO-03,2018/09/06 00:00:00,,medido_completo,ua|uso
GO_591,-51.84044,-17.10005,GO,Cerrado,Caiapônia,GO-03,2018/09/06 00:00:00,,medido_completo,ua|uso
GO_592,-51.66038,-17.10011,GO,Cerrado,Caiapônia,GO-03,2018/09/04 00:00:00,,medido_completo,ua|uso
GO_593,-51.48,-17.1,GO,Cerrado,Caiapônia,GO-03,,,socioambiental,uso
GO_594,-51.30007,-17.09995,GO,Cerrado,Caiapônia,GO-03,2018/08/28 00:00:00,,medido_completo,ua|uso
GO_595,-51.12054,-17.10017,GO,Cerrado,Montividiu,GO-03,2018/08/28 00:00:00,,medido_completo,ua|uso
GO_596,-50.94011,-17.09986,GO,Cerrado,Rio Verde,GO-03,2018/08/27 00:00:00,,medido_completo,ua|uso
GO_598,-50.58025,-17.1,GO,Cerrado,Paraúna,GO-03,2018/06/07 00:00:00,,medido_completo,ua|uso
GO_599,-50.40007,-17.10007,GO,Cerrado,Paraúna,GO-02,2018/05/11 00:00:00,,medido_completo,ua|uso
GO_6,-48.96055,-12.96028,GO,Cerrado,Porangatu,GO-01,2018/05/07 00:00:00,,medido_completo,ua|uso
GO_60,-48.42026,-13.50011,GO,Cerrado,Minaçu,GO-01,2018/10/08 00:00:00,,medido_completo,ua|uso
GO_600,-50.22061,-17.10029,GO,Cerrado,Jandaia,GO-02,2018/05/07 00:00:00,,medido_completo,ua|uso
GO_601,-50.04008,-17.09991,GO,Cerrado,Indiara,GO-02,2018/05/09 00:00:00,,medido_completo,ua|uso
GO_602,-49.86028,-17.10008,GO,Cerrado,Indiara,GO-02,2018/05/07 00:00:00,,medido_completo,ua|uso
GO_603,-49.68048,-17.1001,GO,Cerrado,Varjão,GO-02,2018/05/17 00:00:00,,medido_completo,ua|uso
GO_604,-49.50027,-17.1,GO,Cerrado,Varjão,GO-02,2018/05/17 00:00:00,Solo duro com pedrisco,medido_completo,ua|uso
GO_605,-49.32053,-17.10012,GO,Cerrado,Hidrolândia,GO-02,2018/07/02 00:00:00,,medido_completo,ua|uso
GO_606,-49.14027,-17.10012,GO,Cerrado,Hidrolândia,GO-02,2018/07/05 00:00:00,,medido_completo,ua|uso
GO_607,-48.96047,-17.10005,GO,Cerrado,Piracanjuba,GO-02,2018/07/02 00:00:00,,medido_completo,ua|uso
GO_608,-48.78041,-17.10024,GO,Cerrado,Bela Vista de Goiás,GO-02,2018/07/23 00:00:00,,medido_completo,ua|uso
GO_609,-48.60004,-17.09997,GO,Cerrado,São Miguel do Passa Quatro,GO-02,2018/07/26 00:00:00,,medido_completo,ua|uso
GO_61,-48.24006,-13.50001,GO,Cerrado,Minaçu,,2018/10/10 00:00:00,,medido_biofisico,ua
GO_610,-48.42051,-17.10007,GO,Cerrado,Pires do Rio,GO-02,2018/07/18 00:00:00,,medido_completo,ua|uso
GO_611,-48.24008,-17.10019,GO,Cerrado,Orizona,GO-02,2018/07/23 00:00:00,,medido_completo,ua|uso
GO_612,-48.06025,-17.10001,GO,Cerrado,Orizona,GO-02,2018/07/24 00:00:00,,medido_completo,ua|uso
GO_613,-47.88059,-17.10031,GO,Cerrado,Ipameri,GO-02,2018/07/23 00:00:00,,medido_completo,ua|uso
GO_616,-47.34036,-17.10012,GO,Cerrado,Cristalina,GO-02,2018/07/20 00:00:00,,medido_completo,ua|uso
GO_617,-53.10009,-17.27998,GO,Cerrado,Santa Rita do Araguaia,GO-03,2018/08/31 00:00:00,,medido_completo,ua|uso
GO_618,-52.92007,-17.27993,GO,Cerrado,Santa Rita do Araguaia,GO-03,2018/08/30 00:00:00,,medido_completo,ua|uso
GO_62,-48.06012,-13.5,GO,Cerrado,Cavalcante,GO-01,2018/10/11 00:00:00,,medido_completo,ua|uso
GO_620,-52.56061,-17.28028,GO,Cerrado,Mineiros,GO-03,2018/08/28 00:00:00,,medido_completo,ua|uso
GO_621,-52.38026,-17.28002,GO,Cerrado,Mineiros,GO-03,2018/08/31 00:00:00,,medido_completo,ua|uso
GO_622,-52.20034,-17.28001,GO,Cerrado,Caiapônia,GO-03,2018/08/31 00:00:00,,medido_completo,ua|uso
GO_623,-52.02047,-17.27997,GO,Cerrado,Caiapônia,GO-03,2018/09/04 00:00:00,,medido_completo,ua|uso
GO_624,-51.84057,-17.28027,GO,Cerrado,Caiapônia,GO-03,2018/09/05 00:00:00,,medido_completo,ua|uso
GO_625,-51.66052,-17.28012,GO,Cerrado,Caiapônia,GO-03,2018/08/24 00:00:00,,medido_completo,ua|uso
GO_626,-51.48016,-17.28004,GO,Cerrado,Caiapônia,GO-03,2018/08/29 00:00:00,,medido_completo,ua|uso
GO_627,-51.30061,-17.28029,GO,Cerrado,Montividiu,GO-03,2018/08/27 00:00:00,,medido_completo,ua|uso
GO_628,-51.12027,-17.28008,GO,Cerrado,Montividiu,GO-03,2018/08/30 00:00:00,,medido_completo,ua|uso
GO_629,-50.94026,-17.27999,GO,Cerrado,Rio Verde,GO-03,2018/08/27 00:00:00,,medido_completo,ua|uso
GO_63,-47.88004,-13.49992,GO,Cerrado,Cavalcante,GO-01,2018/10/08 00:00:00,,medido_completo,ua|uso
GO_630,-50.7602,-17.28007,GO,Cerrado,Rio Verde,GO-03,2018/06/08 00:00:00,,medido_completo,ua|uso
GO_631,-50.58072,-17.28018,GO,Cerrado,Paraúna,GO-03,2018/06/08 00:00:00,,medido_completo,ua|uso
GO_633,-50.22009,-17.27999,GO,Cerrado,Jandaia,GO-02,2018/05/14 00:00:00,,medido_completo,ua|uso
GO_634,-50.0401,-17.28004,GO,Cerrado,Indiara,GO-02,2018/05/14 00:00:00,,medido_completo,ua|uso
GO_635,-49.86005,-17.27997,GO,Cerrado,Edéia,GO-02,2018/05/11 00:00:00,,medido_completo,ua|uso
GO_636,-49.68028,-17.28012,GO,Cerrado,Edealina,GO-02,2018/05/09 00:00:00,,medido_completo,ua|uso
GO_637,-49.50012,-17.27989,GO,Cerrado,Mairipotaba,GO-02,2018/05/15 00:00:00,,medido_completo,ua|uso
GO_638,-49.32051,-17.28014,GO,Cerrado,Cromínia,GO-02,2018/07/04 00:00:00,,medido_completo,ua|uso
GO_639,-49.14029,-17.28003,GO,Cerrado,Piracanjuba,GO-02,2018/07/05 00:00:00,,medido_completo,ua|uso
GO_64,-47.70051,-13.50014,GO,Cerrado,Cavalcante,GO-01,2018/10/22 00:00:00,,medido_completo,ua|uso
GO_640,-48.96054,-17.28017,GO,Cerrado,Piracanjuba,GO-02,2018/07/30 00:00:00,,medido_completo,ua|uso
GO_641,-48.78047,-17.28007,GO,Cerrado,Cristianópolis,GO-02,2018/07/25 00:00:00,,medido_completo,ua|uso
GO_642,-48.60047,-17.28007,GO,Cerrado,Santa Cruz de Goiás,GO-02,2018/08/02 00:00:00,,medido_completo,ua|uso
GO_643,-48.4201,-17.27992,GO,Cerrado,Santa Cruz de Goiás,GO-02,2018/07/20 00:00:00,,medido_completo,ua|uso
GO_644,-48.24059,-17.28032,GO,Cerrado,Pires do Rio,GO-02,2018/07/27 00:00:00,,medido_completo,ua|uso
GO_645,-48.06017,-17.28005,GO,Cerrado,Ipameri,GO-02,2018/08/01 00:00:00,,medido_completo,ua|uso
GO_646,-47.88008,-17.28008,GO,Cerrado,Campo Alegre de Goiás,GO-02,2018/08/03 00:00:00,,medido_completo,ua|uso
GO_648,-47.52056,-17.28027,GO,Cerrado,Cristalina,GO-02,2018/07/31 00:00:00,,medido_completo,ua|uso
GO_649,-53.10057,-17.46025,GO,Cerrado,Mineiros,GO-03,2018/08/31 00:00:00,,medido_completo,ua|uso
GO_65,-47.52018,-13.49992,GO,Cerrado,Cavalcante,GO-01,2018/10/22 00:00:00,,medido_completo,ua|uso
GO_650,-52.92032,-17.46007,GO,Cerrado,Mineiros,GO-03,2018/08/30 00:00:00,,medido_completo,ua|uso
GO_651,-52.74004,-17.45997,GO,Cerrado,Mineiros,GO-03,2018/08/29 00:00:00,,medido_completo,ua|uso
GO_652,-52.56061,-17.46028,GO,Cerrado,Mineiros,GO-03,2018/08/28 00:00:00,,medido_completo,ua|uso
GO_653,-52.38025,-17.45999,GO,Cerrado,Mineiros,GO-03,2018/08/27 00:00:00,,medido_completo,ua|uso
GO_654,-52.2,-17.46,GO,Cerrado,Perolândia,GO-03,,,socioambiental,uso
GO_655,-52.02004,-17.45998,GO,Cerrado,Caiapônia,GO-03,2018/08/30 00:00:00,,medido_completo,ua|uso
GO_656,-51.84023,-17.45992,GO,Cerrado,Jataí,GO-03,2018/09/03 00:00:00,,medido_completo,ua|uso
GO_657,-51.66037,-17.46011,GO,Cerrado,Rio Verde,GO-03,2018/08/24 00:00:00,,medido_completo,ua|uso
GO_658,-51.48018,-17.45998,GO,Cerrado,Rio Verde,GO-03,2018/08/29 00:00:00,,medido_completo,ua|uso
GO_659,-51.30005,-17.46012,GO,Cerrado,Montividiu,GO-03,2018/08/29 00:00:00,,medido_completo,ua|uso
GO_66,-47.34,-13.5001,GO,Cerrado,Cavalcante,GO-01,2018/10/02 00:00:00,,medido_completo,ua|uso
GO_661,-50.94017,-17.45991,GO,Cerrado,Rio Verde,GO-03,2018/08/28 00:00:00,,medido_completo,ua|uso
GO_662,-50.76025,-17.45998,GO,Cerrado,Rio Verde,GO-03,2018/08/31 00:00:00,,medido_completo,ua|uso
GO_663,-50.58051,-17.46013,GO,Cerrado,Santo Antônio da Barra,GO-03,2018/08/31 00:00:00,,medido_completo,ua|uso
