tipo,codigo,nome,nome_norm,uf,area_ha,detalhe,sul,oeste,norte,leste
conservacao,0000.17.1487,PARQUE ESTADUAL DO CANTÃO,parque estadual do cantao,TO,100412.26,Parque · Estadual,-9.90106,-50.20899,-9.19749,-49.9414
conservacao,0000.41.0534,PARQUE ESTADUAL DO CAXAMBU,parque estadual do caxambu,PR,1108.16,Parque · Estadual,-24.68557,-50.02153,-24.64398,-49.97655
conservacao,0000.41.0499,PARQUE ESTADUAL DO CERRADO,parque estadual do cerrado,PR,1760.8,Parque · Estadual,-24.2033,-49.67514,-24.13175,-49.58119
conservacao,0000.23.0963,PARQUE ESTADUAL DO COCÓ,parque estadual do coco,CE,1582.36,Parque · Estadual,-3.86938,-38.54828,-3.74374,-38.43121
conservacao,0000.43.2000,PARQUE ESTADUAL DO DELTA DO JACUÍ,parque estadual do delta do jacui,RS,14181.55,Parque · Estadual,-30.06485,-51.48436,-29.89428,-51.20235
conservacao,0000.33.1479,PARQUE ESTADUAL DO DESENGANO,parque estadual do desengano,RJ,21325.74,Parque · Estadual,-21.98366,-41.97243,-21.76409,-41.61471
conservacao,0000.43.1020,PARQUE ESTADUAL DO ESPINILHO,parque estadual do espinilho,RS,1609.18,Parque · Estadual,-30.21236,-57.55704,-30.16488,-57.44225
conservacao,0000.41.0549,PARQUE ESTADUAL DO GUARTELÁ,parque estadual do guartela,PR,1877.92,Parque · Estadual,-24.61174,-50.26677,-24.5535,-50.1966
conservacao,0000.51.0477,PARQUE ESTADUAL DO GUIRÁ,parque estadual do guira,MT,104662.23,Parque · Estadual,-17.56047,-58.04235,-17.00027,-57.69714
conservacao,0000.43.2001,PARQUE ESTADUAL DO IBITIRIÁ,parque estadual do ibitiria,RS,408.67,Parque · Estadual,-28.33102,-50.75519,-28.29953,-50.72207
conservacao,0000.31.0413,PARQUE ESTADUAL DO ITACOLOMI,parque estadual do itacolomi,MG,5996.39,Parque · Estadual,-20.4735,-43.51645,-20.40548,-43.39938
conservacao,0000.35.1677,PARQUE ESTADUAL DO ITINGUÇU,parque estadual do itingucu,SP,5038.07,Parque · Estadual,-24.42964,-47.15483,-24.37838,-47.0013
conservacao,0000.17.1486,PARQUE ESTADUAL DO JALAPÃO,parque estadual do jalapao,TO,158969.84,Parque · Estadual,-10.60877,-46.93433,-10.14825,-46.40745
conservacao,0000.35.0859,PARQUE ESTADUAL DO JARAGUÁ,parque estadual do jaragua,SP,492.03,Parque · Estadual,-23.47696,-46.77893,-23.4477,-46.75338
conservacao,0000.52.3030,PARQUE ESTADUAL DO JOÃO LEITE,parque estadual do joao leite,GO,2838.34,Parque · Estadual,-16.58181,-49.22628,-16.47296,-49.11026
conservacao,0000.35.0831,PARQUE ESTADUAL DO JUQUERY,parque estadual do juquery,SP,2059.09,Parque · Estadual,-23.37004,-46.74087,-23.32973,-46.66154
conservacao,0000.35.0801,PARQUE ESTADUAL DO JURUPARÁ,parque estadual do jurupara,SP,26235.08,Parque · Estadual,-24.02335,-47.39856,-23.82667,-47.18897
conservacao,0000.17.1488,PARQUE ESTADUAL DO LAJEADO,parque estadual do lajeado,TO,10750.15,Parque · Estadual,-10.20063,-48.28384,-10.003,-48.16181
conservacao,0000.31.2328,PARQUE ESTADUAL DO LIMOEIRO,parque estadual do limoeiro,MG,2009.31,Parque · Estadual,-19.60929,-43.48043,-19.55823,-43.42571
conservacao,0000.13.1736,PARQUE ESTADUAL DO MATUPIRI,parque estadual do matupiri,AM,509595.41,Parque · Estadual,-5.49699,-61.789,-4.74895,-60.7209
conservacao,0000.33.2904,PARQUE ESTADUAL DO MENDANHA,parque estadual do mendanha,RJ,4399.07,Parque · Estadual,-22.84858,-43.60058,-22.78379,-43.44615
conservacao,0000.41.0551,PARQUE ESTADUAL DO MONGE,parque estadual do monge,PR,333.83,Parque · Estadual,-25.80882,-49.70191,-25.77069,-49.68563
conservacao,0000.29.0296,PARQUE ESTADUAL DO MORRO DO CHAPÉU,parque estadual do morro do chapeu,BA,51916.1,Parque · Estadual,-11.50914,-41.36769,-11.16512,-41.18976
conservacao,0000.35.0816,PARQUE ESTADUAL DO MORRO DO DIABO,parque estadual do morro do diabo,SP,36571.76,Parque · Estadual,-22.67638,-52.39503,-22.36585,-52.1591
conservacao,0000.50.0423,PARQUE ESTADUAL DO PANTANAL DO RIO NEGRO,parque estadual do pantanal do rio negro,MS,77907.34,Parque · Estadual,-19.79809,-56.87606,-19.3577,-56.54871
conservacao,0000.43.2002,PARQUE ESTADUAL DO PAPAGAIO-CHARÃO,parque estadual do papagaio-charao,RS,1009.18,Parque · Estadual,-27.92871,-52.86132,-27.88532,-52.81336
conservacao,0000.31.1770,PARQUE ESTADUAL DO PAU FURADO,parque estadual do pau furado,MG,2185.52,Parque · Estadual,-18.83669,-48.20013,-18.73151,-48.13358
conservacao,0000.41.0525,PARQUE ESTADUAL DO PENHASCO VERDE,parque estadual do penhasco verde,PR,269.73,Parque · Estadual,-23.72539,-50.83332,-23.68031,-50.77737
conservacao,0000.23.4869,PARQUE ESTADUAL DO PICO ALTO,parque estadual do pico alto,CE,72.59,Parque · Estadual,-4.21592,-38.97522,-4.20581,-38.96108
conservacao,0000.43.2003,PARQUE ESTADUAL DO PODOCARPUS,parque estadual do podocarpus,RS,3654.97,Parque · Estadual,-30.83804,-52.95145,-30.65317,-52.71117
conservacao,0000.25.2337,PARQUE ESTADUAL DO POETA E REPENTISTA JUVENAL DE OLIVEIRA,parque estadual do poeta e repentista juvenal de oliveira,PB,0.0,Parque · Estadual,-7.23137,-35.86142,-7.21708,-35.83201
conservacao,0000.35.1679,PARQUE ESTADUAL DO PRELADO,parque estadual do prelado,SP,1827.23,Parque · Estadual,-24.60575,-47.31464,-24.5625,-47.24261
conservacao,0000.50.0419,PARQUE ESTADUAL DO PROSA,parque estadual do prosa,MS,133.48,Parque · Estadual,-20.46015,-54.56546,-20.44325,-54.55493
conservacao,0000.22.4807,PARQUE ESTADUAL DO RANGEL,parque estadual do rangel,PI,38594.93,Parque · Estadual,-9.90567,-44.62746,-9.70309,-44.30201
conservacao,0000.41.0512,PARQUE ESTADUAL DO RIO DA ONÇA,parque estadual do rio da onca,PR,130.67,Parque · Estadual,-25.79632,-48.54111,-25.78333,-48.5254
conservacao,0000.31.0394,PARQUE ESTADUAL DO RIO DOCE,parque estadual do rio doce,MG,36030.25,Parque · Estadual,-19.81765,-42.64394,-19.49251,-42.47668
conservacao,0000.35.0870,PARQUE ESTADUAL DO RIO PEIXE,parque estadual do rio peixe,SP,7712.72,Parque · Estadual,-21.68252,-51.79461,-21.55902,-51.62275
conservacao,0000.31.4683,PARQUE ESTADUAL DO RIO PRETO,parque estadual do rio preto,MG,11955.25,Parque · Estadual,-18.23893,-43.39148,-18.06814,-43.30359
conservacao,0000.35.1969,PARQUE ESTADUAL DO RIO TURVO,parque estadual do rio turvo,SP,73820.23,Parque · Estadual,-25.10022,-48.60092,-24.77193,-48.09273
conservacao,0000.42.1844,PARQUE ESTADUAL DO RIO VERMELHO,parque estadual do rio vermelho,SC,1540.04,Parque · Estadual,-27.58229,-48.45272,-27.47226,-48.38327
conservacao,0000.21.1891,PARQUE ESTADUAL DO SÍTIO DO RANGEDOR,parque estadual do sitio do rangedor,MA,121.28,Parque · Estadual,-2.5033,-44.27804,-2.49319,-44.26149
conservacao,0000.31.0368,PARQUE ESTADUAL DO SUMIDOURO,parque estadual do sumidouro,MG,2005.68,Parque · Estadual,-19.57885,-43.99424,-19.53182,-43.91294
conservacao,0000.43.2005,PARQUE ESTADUAL DO TAINHAS,parque estadual do tainhas,RS,6659.32,Parque · Estadual,-29.1656,-50.4086,-28.98903,-50.3439
conservacao,0000.43.1018,PARQUE ESTADUAL DO TURVO,parque estadual do turvo,RS,16767.03,Parque · Estadual,-27.27976,-54.05261,-27.12697,-53.79982
conservacao,0000.15.1022,PARQUE ESTADUAL DO UTINGA,parque estadual do utinga,PA,1397.66,Parque · Estadual,-1.43966,-48.44671,-1.39551,-48.39841
conservacao,0000.31.0397,PARQUE ESTADUAL DO VERDE GRANDE,parque estadual do verde grande,MG,25635.61,Parque · Estadual,-14.86822,-43.91496,-14.56066,-43.72341
conservacao,0000.51.0470,PARQUE ESTADUAL DO XINGU,parque estadual do xingu,MT,95327.85,Parque · Estadual,-10.00819,-52.81388,-9.68298,-52.35446
conservacao,0000.51.0460,PARQUE ESTADUAL DOM OSÓRIO STOFFEL,parque estadual dom osorio stoffel,MT,6420.61,Parque · Estadual,-16.65548,-54.81211,-16.52382,-54.70696
conservacao,0000.35.0836,PARQUE ESTADUAL DOS MANANCIAIS DE CAMPOS DO JORDÃO,parque estadual dos mananciais de campos do jordao,SP,517.03,Parque · Estadual,-22.77911,-45.58015,-22.75503,-45.54466
conservacao,0000.52.1739,PARQUE ESTADUAL DOS PIRINEUS,parque estadual dos pirineus,GO,2837.45,Parque · Estadual,-15.83613,-48.88399,-15.78053,-48.80752
conservacao,0000.33.1485,PARQUE ESTADUAL DOS TRÊS PICOS,parque estadual dos tres picos,RJ,65080.49,Parque · Estadual,-22.58369,-42.98885,-22.28773,-42.31601
conservacao,0000.24.1475,"PARQUE ESTADUAL DUNAS DE NATAL "" JORNALISTA LUIZ MARIA ALVES","parque estadual dunas de natal "" jornalista luiz maria alves",RN,0.0,Parque · Estadual,-5.86608,-35.20115,-5.78831,-35.18093
conservacao,0000.51.1916,PARQUE ESTADUAL ENCONTRO DAS ÁGUAS,parque estadual encontro das aguas,MT,108130.11,Parque · Estadual,-17.33923,-56.88802,-16.83383,-56.40359
conservacao,0000.32.1534,PARQUE ESTADUAL FORNO GRANDE,parque estadual forno grande,ES,912.79,Parque · Estadual,-20.54186,-41.12062,-20.50275,-41.07954
conservacao,0000.42.0789,PARQUE ESTADUAL FRITZ PLAUMANN,parque estadual fritz plaumann,SC,724.97,Parque · Estadual,-27.31151,-52.16509,-27.27668,-52.0977
conservacao,0000.31.0387,PARQUE ESTADUAL GRÃO MOGOL,parque estadual grao mogol,MG,28390.48,Parque · Estadual,-16.61524,-42.96406,-16.21274,-42.77839
conservacao,0000.13.1004,PARQUE ESTADUAL GUARIBA,parque estadual guariba,AM,71099.69,Parque · Estadual,-8.80124,-60.85675,-8.57716,-60.50386
conservacao,0000.51.0455,PARQUE ESTADUAL IGARAPÉS DO JURUENA,parque estadual igarapes do juruena,MT,223815.84,Parque · Estadual,-9.00307,-59.47021,-8.80079,-58.44654
conservacao,0000.11.4445,PARQUE ESTADUAL ILHA DAS FLORES,parque estadual ilha das flores,RO,89832.59,Parque · Estadual,-13.11731,-62.61687,-12.8185,-62.15751
conservacao,0000.35.1676,PARQUE ESTADUAL INTERVALES,parque estadual intervales,SP,40696.72,Parque · Estadual,-24.51793,-48.52105,-24.19381,-48.05449
conservacao,0000.35.1678,PARQUE ESTADUAL LAGAMAR DE CANANEIA,parque estadual lagamar de cananeia,SP,40705.97,Parque · Estadual,-25.24875,-48.24024,-24.90706,-47.96907
conservacao,0000.31.0390,PARQUE ESTADUAL LAGOA DO CAJUEIRO,parque estadual lagoa do cajueiro,MG,20735.38,Parque · Estadual,-15.06433,-44.01887,-14.86782,-43.83717
conservacao,0000.51.0464,PARQUE ESTADUAL MÃE BONIFÁCIA,parque estadual mae bonifacia,MT,77.21,Parque · Estadual,-15.58487,-56.11011,-15.57501,-56.09929
conservacao,0000.21.3544,PARQUE ESTADUAL MARINHO BANCO DO ÁLVARO,parque estadual marinho banco do alvaro,MA,45132.06,Parque · Estadual,-0.41664,-44.91671,-0.21664,-44.73337
conservacao,0000.21.3543,PARQUE ESTADUAL MARINHO BANCO DO TAROL,parque estadual marinho banco do tarol,MA,34187.2,Parque · Estadual,-0.99998,-44.75004,-0.83331,-44.58337
conservacao,0000.35.0834,PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS,parque estadual marinho da laje de santos,SP,5059.46,Parque · Estadual,-24.35333,-46.2,-24.26333,-46.15
conservacao,0000.23.0947,PARQUE ESTADUAL MARINHO DA PEDRA DA RISCA DO MEIO,parque estadual marinho da pedra da risca do meio,CE,4793.66,Parque · Estadual,-3.61118,-38.44168,-3.5634,-38.36002
conservacao,0000.25.0484,PARQUE ESTADUAL MARINHO DE AREIA VERMELHA,parque estadual marinho de areia vermelha,PB,0.0,Parque · Estadual,-7.02059,-34.81985,-6.98625,-34.81143
conservacao,0000.21.1886,PARQUE ESTADUAL MARINHO DO PARCEL DE MANUEL LUÍS,parque estadual marinho do parcel de manuel luis,MA,45129.23,Parque · Estadual,-0.96702,-44.35039,-0.76702,-44.15039
conservacao,0000.28.4118,PARQUE ESTADUAL MARITUBA,parque estadual marituba,SE,1752.17,Parque · Estadual,-10.81756,-36.96074,-10.75801,-36.89554
conservacao,0000.51.0480,PARQUE ESTADUAL MASSAIRO OKAMURA,parque estadual massairo okamura,MT,53.19,Parque · Estadual,-15.58009,-56.07184,-15.56422,-56.06325
conservacao,0000.26.3268,PARQUE ESTADUAL MATA DA PIMENTEIRA,parque estadual mata da pimenteira,PE,872.87,Parque · Estadual,-7.95999,-38.31202,-7.88793,-38.28345
conservacao,0000.24.1473,PARQUE ESTADUAL MATA DA PIPA,parque estadual mata da pipa,RN,290.74,Parque · Estadual,-6.26509,-35.0677,-6.2357,-35.04542
conservacao,0000.26.3308,PARQUE ESTADUAL MATA DE DUAS LAGOAS,parque estadual mata de duas lagoas,PE,137.8,Parque · Estadual,-8.31035,-34.99206,-8.29136,-34.98093
conservacao,0000.31.4415,PARQUE ESTADUAL MATA DO KRAMBECK,parque estadual mata do krambeck,MG,291.98,Parque · Estadual,-21.73873,-43.39228,-21.71654,-43.3704
conservacao,0000.25.0901,PARQUE ESTADUAL MATA DO PAU FERRO,parque estadual mata do pau ferro,PB,0.0,Parque · Estadual,-6.99998,-35.76657,-6.96347,-35.7344
conservacao,0000.26.3283,PARQUE ESTADUAL MATA DO ZUMBI,parque estadual mata do zumbi,PE,288.6,Parque · Estadual,-8.33294,-34.98814,-8.3043,-34.97254
conservacao,0000.50.0422,PARQUE ESTADUAL MATAS DO SEGREDO,parque estadual matas do segredo,MS,177.44,Parque · Estadual,-20.40125,-54.60038,-20.38442,-54.58094
conservacao,0000.35.2839,PARQUE ESTADUAL NASCENTES DO PARANAPANEMA,parque estadual nascentes do paranapanema,SP,22211.27,Parque · Estadual,-24.28167,-48.29389,-24.10717,-48.06991
conservacao,0000.32.0332,PARQUE ESTADUAL PAULO CÉSAR VINHA,parque estadual paulo cesar vinha,ES,1504.53,Parque · Estadual,-20.63049,-40.4331,-20.53499,-40.37973
conservacao,0000.32.4974,PARQUE ESTADUAL PEDRA AZUL,parque estadual pedra azul,ES,1356.74,Parque · Estadual,-20.4392,-41.02808,-20.39383,-40.98378
conservacao,0000.31.0404,PARQUE ESTADUAL PICO DO ITAMBÉ,parque estadual pico do itambe,MG,6520.57,Parque · Estadual,-18.49703,-43.3847,-18.36775,-43.2986
conservacao,0000.25.2336,PARQUE ESTADUAL PICO DO JABRE,parque estadual pico do jabre,PB,0.0,Parque · Estadual,-7.26696,-37.4099,-7.23907,-37.36626
conservacao,0000.29.3248,PARQUE ESTADUAL PONTA DA TULHA,parque estadual ponta da tulha,BA,1705.26,Parque · Estadual,-14.64491,-39.13518,-14.5973,-39.05688
conservacao,0000.43.2004,PARQUE ESTADUAL QUARTA COLÔNIA,parque estadual quarta colonia,RS,0.0,Parque · Estadual,-29.46647,-53.29298,-29.38258,-53.19717
conservacao,0000.35.1964,PARQUE ESTADUAL RESTINGA DE BERTIOGA,parque estadual restinga de bertioga,SP,9720.25,Parque · Estadual,-23.82832,-46.17341,-23.69907,-45.84884
conservacao,0000.42.0787,PARQUE ESTADUAL RIO CANOAS,parque estadual rio canoas,SC,1134.15,Parque · Estadual,-27.59388,-51.20891,-27.55792,-51.15921
conservacao,0000.31.0409,PARQUE ESTADUAL RIO CORRENTE,parque estadual rio corrente,MG,5174.7,Parque · Estadual,-19.05393,-42.38595,-18.93774,-42.23859
conservacao,0000.13.1007,PARQUE ESTADUAL RIO NEGRO SETOR NORTE,parque estadual rio negro setor norte,AM,148115.27,Parque · Estadual,-2.44196,-61.61081,-1.92385,-61.215
conservacao,0000.13.1006,PARQUE ESTADUAL RIO NEGRO SETOR SUL,parque estadual rio negro setor sul,AM,77950.1,Parque · Estadual,-2.72189,-60.60327,-2.35428,-60.31838
